Thepa	Ambtr	Aquco	Mimgu	Medtr	Nelnu	Soltu	Solly	Vitvi	Theca	Frave	Carpa	Arath	Glyma	Poptr
4	4	10	13	11	2	23	15	7	4	0	1	6	8	7
2	1	1	1	2	1	1	1	0	1	1	1	2	2	1
1	1	1	2	1	1	1	1	1	1	1	1	1	2	3
1	1	2	2	1	1	1	1	1	1	2	1	1	5	1
2	1	1	1	4	1	1	2	2	2	3	1	2	3	4
2	1	1	0	3	2	1	2	2	2	2	1	3	9	2
1	1	1	1	2	1	2	2	1	1	1	1	2	6	2
4	1	2	3	2	1	2	2	2	2	2	1	3	4	2
1	1	1	1	1	2	3	1	1	1	1	1	1	2	3
1	1	1	1	0	1	2	1	1	1	1	2	1	3	2
1	1	1	1	0	2	1	1	0	2	0	0	1	2	2
1	1	1	1	2	1	1	1	1	1	1	1	1	2	1
2	1	1	1	2	2	1	1	1	1	1	1	1	3	2
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	2	2	1	1	1	1	1	1	1	5	2
1	1	2	1	1	2	1	1	1	1	1	4	1	2	1
1	1	1	2	0	1	1	1	1	1	1	1	1	4	2
1	1	2	1	4	2	2	2	1	1	4	1	2	2	2
1	1	1	1	1	1	2	1	0	1	1	2	1	2	1
1	1	1	2	2	2	2	2	1	2	1	1	0	4	3
1	1	1	1	1	2	2	1	1	1	1	1	1	1	2
1	1	2	2	0	2	4	1	2	1	1	1	1	2	4
1	1	1	2	1	1	1	1	1	1	1	1	1	3	1
4	2	2	1	2	2	2	2	2	2	2	3	4	6	3
1	1	0	1	0	1	2	0	0	1	0	0	0	0	0
0	1	1	2	0	2	2	1	1	1	1	1	0	3	3
1	1	1	1	0	1	2	1	1	1	0	1	1	7	1
1	1	2	1	1	2	5	1	3	2	2	2	1	3	3
0	1	1	1	0	1	2	1	1	1	1	1	1	1	1
1	1	2	1	1	1	1	1	1	1	1	2	1	1	3
2	2	6	5	2	4	3	3	3	3	2	2	2	10	3
1	1	2	2	2	2	2	1	3	1	1	1	1	8	3
1	1	1	1	0	1	1	1	0	1	0	1	1	1	1
0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
1	1	1	2	1	1	1	1	1	1	0	0	1	2	2
1	1	1	1	0	1	1	1	1	1	1	1	1	2	2
1	2	2	1	0	1	1	1	9	1	1	1	1	2	1
3	1	1	3	1	1	1	1	2	1	1	0	3	5	1
1	1	1	2	1	2	1	1	1	1	0	0	1	3	3
